university,type,field_category,programme,total_fee
Taylor's,Private,Computer Science & IT,"Bachelor Of Information Technology (Hons) (3+0) with University of the West of England, UK",121730.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons),120650.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons) in Advertising & Brand Management,120650.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons) in Public Relations & Marketing,120650.0
Taylor's,Private,Accounting & Finance,Bachelor Of Science (Hons) Actuarial Studies (3 years),114495.0
Taylor's,Private,Accounting & Finance,Bachelor Of Science (Hons) Actuarial Studies (4 years),125080.0
Taylor's,Private,Architecture & Built Environment,Bachelor Of Arts (Hons) Interior Architecture,130045.0
Taylor's,Private,Architecture & Built Environment,Bachelor Of Quantity Surveying (Hons),104640.0
Taylor's,Private,Architecture & Built Environment,Bachelor Of Science (Hons) In Architecture,135350.0
Taylor's,Private,Business,Bachelor of Science (Honours) in Sustainable DigitalConstruction Management,104345.0
Taylor's,Private,Arts & Humanities,Bachelor Of Design (Hons) In Creative Media,121730.0
Taylor's,Private,Arts & Humanities,Bachelor in Fashion Design Technology (Hons),115300.0
Taylor's,Private,Arts & Humanities,Bachelor of Interactive Spatial Design (Honours),115790.0
Taylor's,Private,Arts & Humanities,Bachelor of Performing Arts (Hons),104775.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons)(Digital Media Production),120650.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons) inAdvertising &Brand Management,120650.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons) inPublic Relations & Event Management,120650.0
Taylor's,Private,Arts & Humanities,Bachelor Of Mass Communication (Hons) inPublic Relations & Marketing,120650.0
Taylor's,Private,Computer Science & IT,"Bachelor Of Computer Science (Hons) (3+0) with University of the West of England, UK",121730.0
Taylor's,Private,Computer Science & IT,"Bachelor Of Software Engineering (Hons) (3+0) with University of the West of England, UK",121730.0
Taylor's,Private,Education,Bachelor Of Education (Hons),104885.0
Taylor's,Private,Engineering,Bachelor Of Engineering (Hons) Chemical Engineering,168665.0
Taylor's,Private,Engineering,Bachelor Of Engineering (Hons) Electrical &Electronic Engineering,168665.0
Taylor's,Private,Engineering,Bachelor Of Engineering (Hons) Mechanical Engineering,168665.0
Taylor's,Private,Engineering,Bachelor of Mechatronics Engineering (Hons),168665.0
